id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3952507,59.8419456482,23.2411117554,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3955125,59.8308334351,23.1424999237,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3972543,51.771018,10.34318,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
3972730,51.776839,10.344058,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3972875,54.3582201243,24.3492050213,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3973140,49.16874,2.1152183333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3973318,54.35,24.34,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3987314,45.7219599517,14.7125644673,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4003173,46.797857,2.790449,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4003230,46.829758,2.803422,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
4003237,46.829758,2.803422,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4004352,42.24832,-7.696942,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4024034,49.09163,2.0089983333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4034790,59.9504163774,10.9075901739,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4046986,49.342796,8.550195,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4050264,49.4348274129,8.6831216811,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4050267,49.4383081631,8.6822891235,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4054118,45.1380805969,10.4364423752,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4065562,49.4401680899,8.6820434331,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4065563,49.4415326425,8.6813578604,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4065565,49.4384142073,8.6802742479,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4065567,49.4348350877,8.683149576,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4071437,52.313246858,13.2112331631,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
4076828,44.7147894,20.5199397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4076846,44.7147894,20.5199397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4076889,44.7147894,20.5199397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4076906,44.7147894,20.5199397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4077943,49.4153643063,8.6692254245,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4083766,41.560362,14.95471,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4084612,49.1172616667,1.8917883333,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
4086215,49.4361872303,8.6838877201,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4086221,49.4452549712,8.6881084438,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4086223,49.4465147508,8.6867651937,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4086226,49.4457404715,8.6843833925,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4086229,49.4467630756,8.683372736,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4086792,49.4368340549,8.6834800243,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4092548,51.2232415304,4.4674463221,European Peacock,Aglais io,European Peacock,Insecta,207977
4092633,45.2749962545,9.7632271596,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4092685,45.2808135231,9.7618402139,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
4109594,49.217675,6.6172722222,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
