id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3877382,44.943961,2.807318,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3893438,42.5609,12.964374,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3907766,49.299438,8.547663,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3922717,56.8700990943,16.6459608078,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3925407,46.3453128934,7.0043416601,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3940829,44.5086250305,9.9263086319,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3952246,46.9930682984,7.5095983408,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3959758,51.5879200612,21.9740250344,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
4004314,44.9250002778,7.0657022222,Grande ortie,Urtica dioica,stinging nettle,Plantae,51884
4026501,49.227183,7.003977,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4031252,47.2181926873,8.6823635548,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4062578,44.7147894,20.5199397,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4087334,50.1053695679,8.7133932114,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4121629,46.4164997637,9.1319561005,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4138893,46.2067607465,6.1129690893,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4156858,46.981721,7.489277,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4181080,46.7886861111,6.6232833333,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4205575,54.6632537,25.2837431,Grande ortie,Urtica dioica,stinging nettle,Plantae,51884
4218352,47.795221944,8.823028056,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4222623,47.0256866667,6.9919383333,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4222920,47.001142,6.954791,Stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
4223036,47.001142,6.954791,Stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
4223266,47.000773,6.950741,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4231228,46.1663755379,8.8719749451,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
4239625,51.477019,-0.230025,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
