id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
13628915,30.838822302,-83.9579345268,Danaus gilippus,Queen,Insecta,51743
13642305,28.5998815505,-82.3762083751,Danaus gilippus,Queen,Insecta,51743
13682539,28.7528166665,-82.5650417014,Danaus gilippus,Queen,Insecta,51743
13780004,28.583466,-81.007905,Danaus gilippus,Queen,Insecta,51743
13807799,26.6292776218,-81.5872651828,Danaus gilippus,Queen,Insecta,51743
13837999,28.4101366667,-81.434005,Danaus gilippus,Queen,Insecta,51743
13891786,30.5142351525,-84.4477943803,Danaus gilippus,Queen,Insecta,51743
13906040,25.7092743321,-80.4156140231,Danaus gilippus,Queen,Insecta,51743
13919537,26.6292808046,-81.5872557947,Danaus gilippus,Queen,Insecta,51743
13920640,26.6292784289,-81.5872739136,Danaus gilippus,Queen,Insecta,51743
13942871,28.7047756557,-82.4063328468,Danaus gilippus,Queen,Insecta,51743
13951946,26.6292865643,-81.5872613116,Danaus gilippus,Queen,Insecta,51743
13995439,28.8015412877,-82.4397228642,Danaus gilippus,Queen,Insecta,51743
13995681,26.629345,-81.587105,Danaus gilippus,Queen,Insecta,51743
14023231,26.629223268,-81.5871950813,Danaus gilippus,Queen,Insecta,51743
14132328,25.6030101,-80.5341411,Danaus gilippus,Queen,Insecta,51743
14146789,28.9782265851,-82.3797374059,Danaus gilippus,Queen,Insecta,51743
14167090,27.5947236,-81.0613923,Danaus gilippus,Queen,Insecta,51743
14179157,27.5827562398,-81.0226095294,Danaus gilippus,Queen,Insecta,51743
14236397,26.6292005786,-81.5871393768,Danaus gilippus,Queen,Insecta,51743
14238383,26.6292020948,-81.5871745176,Danaus gilippus,Queen,Insecta,51743
14388464,28.5542333333,-81.63945,Danaus gilippus,Queen,Insecta,51743
14483891,28.2924886172,-81.3881896465,Danaus gilippus,Queen,Insecta,51743
14515529,26.16617788,-80.27387495,Danaus gilippus,Queen,Insecta,51743
14552618,28.04498,-81.783747,Danaus gilippus,Queen,Insecta,51743
14582963,24.54930826,-81.78368168,Danaus gilippus,Queen,Insecta,51743
14605005,29.6760393726,-82.3530729768,Danaus gilippus,Queen,Insecta,51743
14640505,28.3747786914,-81.5493953973,Danaus gilippus,Queen,Insecta,51743
14644480,30.4011205786,-81.6445983946,Danaus gilippus,Queen,Insecta,51743
14663815,27.8658943102,-81.6390544291,Danaus gilippus,Queen,Insecta,51743
14727262,28.596824539,-80.9181339511,Danaus gilippus,Queen,Insecta,51743
14810300,28.0553082,-81.884661,Danaus gilippus,Queen,Insecta,51743
14837682,25.6075861561,-80.427320078,Danaus gilippus,Queen,Insecta,51743
14993154,27.4776293986,-82.3295842997,Danaus gilippus,Queen,Insecta,51743
15006779,28.3638963783,-81.5737456982,Danaus gilippus,Queen,Insecta,51743
15030214,30.1014452011,-84.1451124457,Danaus gilippus,Queen,Insecta,51743
15043319,28.6747803,-80.7631768,Danaus gilippus,Queen,Insecta,51743
15057087,25.776968,-80.303185,Danaus gilippus,Queen,Insecta,51743
15100171,25.6818429893,-80.283809742,Danaus gilippus,Queen,Insecta,51743
15207700,28.5730874304,-81.0128712951,Danaus gilippus,Queen,Insecta,51743
15253916,25.1401958259,-80.937435313,Danaus gilippus,Queen,Insecta,51743
15297286,26.4988473232,-80.2132159308,Danaus gilippus,Queen,Insecta,51743
15337682,27.9379594516,-81.5762804711,Danaus gilippus,Queen,Insecta,51743
15388208,27.182765286,-82.4626469985,Danaus gilippus,Queen,Insecta,51743
15402967,29.292677112,-83.044036239,Danaus gilippus,Queen,Insecta,51743
15416722,26.1054010084,-80.3328831867,Danaus gilippus,Queen,Insecta,51743
15518335,26.7973333333,-80.27178,Danaus gilippus,Queen,Insecta,51743
15619949,25.6075501772,-80.427349247,Danaus gilippus,Queen,Insecta,51743
15702381,26.128486505,-80.3634830427,Danaus gilippus,Queen,Insecta,51743
15702984,28.9999720387,-82.714722326,Danaus gilippus,Queen,Insecta,51743
15705410,28.0202636719,-81.5845184326,Danaus gilippus,Queen,Insecta,51743
15745182,26.9427305185,-80.561817369,Danaus gilippus,Queen,Insecta,51743
15931304,25.67611,-80.15897,Danaus gilippus berenice,,Insecta,50063
15932973,29.620997,-82.307596,Danaus gilippus,Queen,Insecta,51743
16077879,25.7956654671,-80.1356689509,Danaus gilippus,Queen,Insecta,51743
16129692,28.3462948166,-81.1953246129,Danaus gilippus,Queen,Insecta,51743
16179187,27.2778175392,-82.5018790745,Danaus gilippus,Queen,Insecta,51743
16221306,27.632025,-82.239251,Danaus gilippus,Queen,Insecta,51743
16225088,28.927019,-82.0037608,Danaus gilippus,Queen,Insecta,51743
16228311,25.6769625743,-80.2748211425,Danaus gilippus,Queen,Insecta,51743
16238908,26.3627,-80.07978,Danaus gilippus,Queen,Insecta,51743
16255211,27.8020123839,-80.4321905241,Danaus gilippus,Queen,Insecta,51743
16262667,25.6210835299,-80.3085793555,Danaus gilippus,Queen,Insecta,51743
16286963,27.595345,-82.55445,Danaus gilippus,Queen,Insecta,51743
16314987,27.5105183318,-82.3588792592,Danaus gilippus,Queen,Insecta,51743
16318852,28.61812385,-81.99810082,Danaus gilippus,Queen,Insecta,51743
16343106,30.1289753849,-83.9581570166,Danaus gilippus,Queen,Insecta,51743
16389432,28.6311138561,-82.3537275196,Danaus gilippus,Queen,Insecta,51743
16398403,26.62102106,-80.19826142,Danaus gilippus,Queen,Insecta,51743
