"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Papilio multicaudata","2017-03-30 13:10:00 -1000","Butterfly on salvia blooms","Texas, US",29.8281972815,-98.3196247204,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6014666","https://static.inaturalist.org/photos/7525096/medium.jpg?1493506553","mediocre",6014666,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2017/03/30 1:10 PM HST","2017-03-30","2017-03-30 23:10:00 UTC","Hawaii",NA,"Canyon Lake, TX, USA","obscured","true","","",NA,372384,"2017-04-29 22:57:49 UTC","2017-04-30 00:28:17 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata multicaudata","2017-04-29 15:24:00 -0500","","ahuayoto",19.205972,-99.216775,"","","http://conabio.inaturalist.org/observations/6012634","https://static.inaturalist.org/photos/7521834/medium.jpg?1493498681","mariocastanedasanchez",6012634,"Llamadora","Insecta",237647,"false",1,0,"2017/04/29 3:24 PM CDT","2017-04-29","2017-04-29 20:24:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,14417,"2017-04-29 20:44:38 UTC","2018-02-14 06:57:38 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-22 10:24:00 -0700","","96 Mitchell Canyon Rd, Clayton, CA 94517, USA",37.9203403,-121.9415263,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5977810","https://static.inaturalist.org/photos/7472112/medium.jpg?1493271768","hfabian",5977810,"Two-tailed Swallowtail","Insecta",68263,"false",2,0,"2017/04/22 10:24 AM PDT","2017-04-22","2017-04-22 17:24:00 UTC","Pacific Time (US & Canada)",219,"","","false","","",NA,3342,"2017-04-27 05:42:58 UTC","2017-04-29 03:38:49 UTC","research","",NA,NA,"false"
"Papilio multicaudata","2017-04-26 15:02:44 -0500","Lo encontré en las afueras de la Universidad Autónoma Metropolitana, Unidad Iztapalapa y la conserve hasta que metamorfoseara para garantizar su desarrollo hasta la etapa reproductora y luego dejarla en libertad.","Avenida San Rafael Atlixco 24 Leyes de Reforma 1ra Sección Ciudad de México, CDMX",19.3594194831,-99.074224568,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5971514","https://static.inaturalist.org/photos/7462431/medium.jpg?1493237072","cozza",5971514,"Llamadora","Insecta",68263,"false",4,0,"2017-04-26 3:02:44 PM CDT","2017-04-26","2017-04-26 20:02:44 UTC","Central Time (US & Canada)",516,"","","false","gps","gps",NA,282733,"2017-04-26 20:04:26 UTC","2018-09-03 22:52:30 UTC","research","",NA,2,"false"
"Papilio multicaudata","2017-04-13 00:41:00 -0500","Caterpillar on Ptelea trifoliata.","Austin, TX, USA",30.1989185219,-97.8744506836,"Circle C Metro Park","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5940876","https://static.inaturalist.org/photos/7417086/medium.jpeg?1493063558","centratex",5940876,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2017/04/13 12:41 AM CDT","2017-04-13","2017-04-13 05:41:00 UTC","Central Time (US & Canada)",35,"","","false","","",NA,15215,"2017-04-24 19:58:58 UTC","2017-04-29 00:34:40 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-21 17:25:00 -0700","Photo by Nancy Asquith, who brought a long lens.  Quite a few in lower Mitchell Canyon.","Contra Costa County, CA, USA",37.9106848283,-121.9497442245,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5933276","https://static.inaturalist.org/photos/7405513/medium.jpeg?1493007295","icosahedron",5933276,"Two-tailed Swallowtail","Insecta",68263,"false",2,0,"2017/04/21 5:25 PM PDT","2017-04-21","2017-04-22 00:25:00 UTC","Pacific Time (US & Canada)",122,"","","false","","",NA,910,"2017-04-24 04:18:24 UTC","2017-08-01 02:48:16 UTC","research","CC-BY",NA,NA,"false"
"Papilio multicaudata","2017-04-22 11:25:00 -0700","","Mount Diablo State Park , California",37.918934,-121.94284,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5918694","https://static.inaturalist.org/photos/7384107/medium.jpeg?1492930869","kevinhintsa",5918694,"Two-tailed Swallowtail","Insecta",68263,"false",2,0,"2017/04/22 11:25 AM PDT","2017-04-22","2017-04-22 18:25:00 UTC","Pacific Time (US & Canada)",14,"","","false","","",NA,38530,"2017-04-23 07:01:11 UTC","2017-08-01 02:50:43 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2016-09-20 09:36:41 -0600","","100–174 E Main Dr, El Paso, TX, US",31.7599283333,-106.4886633333,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5917790","https://static.inaturalist.org/photos/7383167/medium.jpg?1492925152","bluehippo",5917790,"Two-tailed Swallowtail","Insecta",68263,"false",3,1,"Tue Sep 20 2016 09:36:41 GMT-0600 (MDT)","2016-09-20","2016-09-20 15:36:41 UTC","Mountain Time (US & Canada)",NA,"","","false","","",NA,461707,"2017-04-23 05:24:46 UTC","2017-05-10 18:14:59 UTC","research","",NA,3,"false"
"Papilio multicaudata","2017-04-21 19:34:17 -0500","","Niños Heroes Santiago Yosondúa, Oax.",16.8706630748,-97.5743487105,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5917212","https://static.inaturalist.org/photos/7382203/medium.jpeg?1492920738","ed20",5917212,"Llamadora","Insecta",68263,"false",4,0,"2017-04-21 7:34:17 PM CDT","2017-04-21","2017-04-22 00:34:17 UTC","Central Time (US & Canada)",16511,"","","false","gps","gps",NA,333908,"2017-04-23 04:11:13 UTC","2018-02-22 18:37:34 UTC","research","",NA,2,"false"
"Papilio multicaudata","2017-04-22 13:10:24 -0500","","Castillo de Chapultepec, Mexico City, DF, MX",19.4189706345,-99.1849389278,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/5908752","https://static.inaturalist.org/photos/7369315/medium.jpg?1492884908","pjchristeleit",5908752,"Llamadora","Insecta",68263,"false",2,0,"Sat Apr 22 2017 13:10:24 GMT-0500 (CDT)","2017-04-22","2017-04-22 18:10:24 UTC","Central Time (US & Canada)",12,"","","false","","",NA,377165,"2017-04-22 18:10:53 UTC","2018-02-14 06:54:14 UTC","research","",NA,3,"false"
