id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
10707081,27.2974588489,-82.4684264046,Limenitis archippus,Viceroy,Insecta,58586
10789247,27.9148584279,-81.9494247437,Limenitis archippus,Viceroy,Insecta,58586
11197093,29.7180140662,-82.3139169531,Limenitis archippus,Viceroy,Insecta,58586
11236105,28.6738883333,-81.679955,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
11294547,25.3819446564,-80.6077804565,Limenitis archippus,Viceroy,Insecta,58586
11295276,29.6120683333,-82.4064866667,Limenitis archippus,Viceroy,Insecta,58586
11376470,29.6344361882,-82.3692756146,Limenitis archippus,Viceroy,Insecta,58586
11888664,28.6096965,-80.6992633,Limenitis archippus,Viceroy,Insecta,58586
11987162,28.6731707,-81.1177687,Limenitis archippus,Viceroy,Insecta,58586
12156135,29.6366138889,-82.2005388889,Limenitis archippus,Viceroy,Insecta,58586
12263853,27.6757016667,-82.375785,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
12402482,25.3820971195,-80.6076014042,Limenitis archippus,Viceroy,Insecta,58586
12475011,25.3827015681,-80.6070810556,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
12651041,25.8406969,-80.39799099,Limenitis archippus,Viceroy,Insecta,58586
12723427,28.8219113872,-82.2461991012,Limenitis archippus,Viceroy,Insecta,58586
12761356,28.51088887,-81.0702011,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
12840000,28.3841666667,-81.5911466667,Limenitis archippus,Viceroy,Insecta,58586
12861657,28.5705038507,-80.9967556005,Limenitis archippus,Viceroy,Insecta,58586
12898330,30.0247637242,-84.4166706683,Limenitis archippus,Viceroy,Insecta,58586
12898521,28.6793116667,-81.1177866667,Limenitis archippus,Viceroy,Insecta,58586
12952921,25.381254,-80.617516,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
13096496,28.072621,-82.377812,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
13127904,28.0735684155,-82.3770018681,Limenitis archippus,Viceroy,Insecta,58586
13134943,28.0752773285,-82.3752746582,Limenitis archippus,Viceroy,Insecta,58586
13236273,25.3972329702,-80.658079572,Limenitis archippus,Viceroy,Insecta,58586
13387961,28.6324466,-82.6053325,Limenitis archippus,Viceroy,Insecta,58586
13521074,27.4214833333,-82.3484416667,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
13540761,25.7559607933,-80.7664719334,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
13632952,26.1470616667,-80.5718166667,Limenitis archippus,Viceroy,Insecta,58586
13760174,28.6324466,-82.6053325,Limenitis archippus,Viceroy,Insecta,58586
13840948,30.9260516129,-82.2747319896,Limenitis archippus,Viceroy,Insecta,58586
13868176,28.850007,-82.6213311,Limenitis archippus,Viceroy,Insecta,58586
13876458,28.5694907386,-81.0108465524,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
13877014,30.355896421,-84.5295442994,Limenitis archippus,Viceroy,Insecta,58586
13881319,28.8330554962,-82.006111145,Limenitis archippus,Viceroy,Insecta,58586
14091951,28.5815707588,-80.9878720815,Limenitis archippus,Viceroy,Insecta,58586
14128300,29.1820232571,-82.6326435605,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
14138973,30.4328,-84.2037583333,Limenitis archippus,Viceroy,Insecta,58586
14150310,30.3675130186,-81.4043790847,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
14325980,28.5751332,-80.996527,Limenitis archippus,Viceroy,Insecta,58586
14432847,28.3346094832,-81.201495898,Limenitis archippus,Viceroy,Insecta,58586
14435262,28.362197,-81.574089,Limenitis archippus,Viceroy,Insecta,58586
14439706,25.3823998,-80.6064611,Limenitis archippus,Viceroy,Insecta,58586
14439815,28.5259829242,-82.1462717435,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
