id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7789374,"Park County, US-MT, US",45.3467008354,-110.5098067458,12,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7789646,"Park County, US-MT, US",45.3465753941,-110.5097037016,12,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7849199,"Boulder County, CO, USA",40.0089743975,-105.6541127893,1046,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7877482,"Gallatin County, US-MT, US",45.498942677,-110.9878080246,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
8079116,"Colorado, United States",39.597471,-105.710706,,,false,,"",Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9176944,"Mono County, CA, USA",37.9542588983,-119.2276668548,25,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9324032,"Shell Falls, Big Horn County, WY, USA",44.5865333333,-107.6148527778,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9350182,"Sherwood Park, AB, Canada",53.5621830959,-113.2744288445,31,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9357938,"Larimer, Colorado, United States",40.5422944444,-105.8732916667,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9359877,"409 Sixth Street, Nelson, BC V1L 2Y2, Canada",49.501555,-117.274394,65,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9584158,"Larimer County, CO, USA",40.6825208916,-105.4829345949,300,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9657845,"Yukon, YT, Canada",60.8211510609,-137.8705215454,977,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9751769,"Grand County, CO, USA",40.2709747249,-105.8350753784,244,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
9967141,"Idaho, United States",44.266347,-115.095929,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
10688668,Mt Evans,39.5848753238,-105.6367960604,1200,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
11273326,"Greyrock Mountain, Colorado 80512, USA",40.7155368,-105.2924846,1644,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
12495715,"Division No. 3, AB, Canada",49.1309963077,-113.8176110619,4047,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
12669555,"Larimer County, CO, USA",40.4423562894,-105.7858863473,3309,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
12669562,"Larimer County, CO, USA",40.4441852866,-105.7841697335,3396,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
13686414,"Medicine Bow National Forest, Buford, WY, US",41.1971260999,-105.3452655053,4616,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
13703230,"Boulder County, CO, USA",39.9733620814,-105.6512174852,832,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
13783525,"Salt Lake County, UT, USA",40.6550033333,-111.6310166667,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
13996615,"Cache County, US-UT, US",41.9101957,-111.70470101,4,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14032891,"Park County, CO, USA",39.4115965709,-105.7528985733,1676,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14220291,"Johnson County, WY, USA",44.3225058927,-106.9499728646,200,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14435327,"Lemhi County, ID, USA",45.0364592,-113.9230554,114241,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14527819,"Wasatch County, UT, USA",40.5909371683,-111.509894692,244,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14531907,"Grand Teton National Park, Jackson, WY, US",43.75363,-110.6240833333,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14535337,Grand Teton National Park,43.790428,-110.681763,12229,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14556985,"Salt Lake, Utah, United States",40.57736,-111.620085,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14611837,"Four Mile Trail, Yosemite Village, CA 95389, USA",37.7291593235,-119.5760435611,526,,false,gps,gps,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14680603,"Pierce County, WA, USA",46.9193230643,-121.6577525791,8,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14700571,"Gunnison National Forest, Crested Butte, CO, US",38.9440416667,-106.9853216667,30,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14740197,"Salt Lake County, UT, USA",40.6644045162,-111.6219217906,211,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14772819,"Sawmill campground, Lee Vining, CA 93541, USA",37.9579801,-119.2695988,191,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14772893,"Lee Vining, CA 93541, USA",37.9579801,-119.2695988,191,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14801739,"Sawmill Meadows Rd, Mammoth Lakes, CA, US",37.7678383333,-118.6775366667,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14804746,"Mono County, CA, USA",37.76743,-118.6774316667,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14813021,"Sawmill Meadows Rd, Mammoth Lakes, CA, US",37.7677583333,-118.6774833333,12,,false,,"",Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14961036,"Timpooneke Campground Rd, Provo, UT 84604, USA",40.4308799,-111.6455333,188,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
14997467,"Yellowstone National Park, Park County, US-WY, US",44.7336573573,-110.4913968501,50,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15231328,"Cache National Forest, Richmond, UT, US",41.8935916667,-111.6383583333,32,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15250646,"Grand Teton National Park, Moose, WY, US",43.661695,-110.697455,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15337634,"Gallatin County, US-MT, US",45.3441660991,-111.3691460622,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15340060,"Gilpin County, CO, USA",39.871376561,-105.6903876238,93,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15384965,"White River National Forest, Vail, CO, US",39.6390633333,-106.295655,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15399604,"White River National Forest, Vail, CO, US",39.66842,-106.283945,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15399641,"White River National Forest, Vail, CO, US",39.6559633333,-106.2907633333,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15403644,"Frisco, CO 80443, USA",39.5437597,-106.2450336,506,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15466857,"Duchesne County, US-UT, US",40.6439678371,-110.896004811,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15489053,"Whatcom County, US-WA, US",48.9160466667,-121.644975,22,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15489101,"Whatcom County, US-WA, US",48.9160633333,-121.6449883333,22,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15707564,"Pierce County, WA, USA",46.7926093771,-121.7169170824,397,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15727933,"Gallatin County, US-MT, US",45.1517611882,-111.0967327003,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15741221,"Yakima County, US-WA, US",46.923288242,-121.4542095457,20,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15802849,"Larimer County, CO, USA",40.7626069687,-105.8840940013,61,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15891542,"Whatcom County, WA, USA",48.8421283333,-121.68653,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
15896659,"Mount Rainier National Park, Ashford, WA, US",46.9084539917,-121.6630993971,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
16278581,"Mount Baker National Forest, Deming, WA, US",48.94728,-121.680625,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
16572062,"Teton County, WY, USA",43.6182612864,-110.8080627441,31,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
16919524,"Clear Creek County, CO, USA",39.7116454032,-105.8609721826,61,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
17121676,"Rio Grande National Forest, Villa Grove, CO, US",38.3068383333,-106.1474445,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
17652231,"Chelan County, US-WA, US",47.675184,-120.961201,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
