"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Platanus wrightii","2018-05-03 10:22:58 -0600","","Fort Huachuca, Sierra Vista, AZ, US",31.5107166667,-110.3922716667,"","Arizona sycamore","https://www.inaturalist.org/observations/12216385","https://static.inaturalist.org/photos/17553045/medium.jpg?1525653642","cbader",12216385,"Arizona sycamore","Plantae",167031,"false",1,0,"Thu May 03 2018 10:22:58 GMT-0700 (MST)","2018-05-03","2018-05-03 16:22:58 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,240260,"2018-05-07 00:40:23 UTC","2018-05-07 01:03:18 UTC","research","CC-BY-NC",NA,3,"false"
"Platanus wrightii","2014-10-05 21:32:00 -1000","","Moctezuma, Son., México",29.8200189468,-109.5815849304,"","Arizona sycamore","https://www.inaturalist.org/observations/12179844","https://static.inaturalist.org/photos/17485972/medium.jpeg?1525564089","oscarleonardo32",12179844,"Sicómoro de Arizona","Plantae",167031,"false",2,0,"2014/10/05 9:32 PM HST","2014-10-05","2014-10-06 07:32:00 UTC","Hawaii",122,NA,NA,"false","","",NA,853690,"2018-05-06 00:41:07 UTC","2018-05-11 03:25:36 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-05-02 17:14:00 -0700","","Pima County, AZ, USA",31.7399747133,-110.8862167597,"","Arizona sycamore","https://www.inaturalist.org/observations/12079769","https://static.inaturalist.org/photos/17321921/medium.jpeg?1525322108","psyllidhipster",12079769,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/05/02 5:14 PM PDT","2018-05-02","2018-05-03 00:14:00 UTC","Pacific Time (US & Canada)",59,NA,NA,"false","","",NA,275891,"2018-05-03 05:19:29 UTC","2018-05-03 14:33:26 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-19 15:45:00 -0700","","Yavapai County, AZ, USA",34.6118861111,-111.8407972222,"","Arizona sycamore","https://www.inaturalist.org/observations/12069207","https://static.inaturalist.org/photos/17305963/medium.jpeg?1525307239","damontighe",12069207,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/04/19 3:45 PM PDT","2018-04-19","2018-04-19 22:45:00 UTC","Pacific Time (US & Canada)",5,NA,NA,"false","","",NA,3494,"2018-05-03 00:54:28 UTC","2018-05-03 01:10:07 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-29 08:05:00 -0600","","Maricopa County, AZ, USA",33.9027333333,-111.82407,"Arizona, Maricopa Co., New River Mts., Rackensack Wash","Arizona sycamore","https://www.inaturalist.org/observations/11991516","https://static.inaturalist.org/photos/17179530/medium.jpg?1525188012","mjplagens",11991516,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/04/29 8:05 AM MST","2018-04-29","2018-04-29 14:05:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,375489,"2018-05-01 15:20:48 UTC","2018-05-01 15:29:28 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-30 11:21:14 -0600","","Montezuma Castle National Monument, Camp Verde, AZ, US",34.6120123985,-111.8422663585,"","Arizona sycamore","https://www.inaturalist.org/observations/11902124","https://static.inaturalist.org/photos/17038935/medium.jpg?1525112555","giladrosman",11902124,"Arizona sycamore","Plantae",167031,"false",1,0,"Mon Apr 30 2018 11:21:14 GMT-0700 (MST)","2018-04-30","2018-04-30 17:21:14 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,924303,"2018-04-30 18:21:57 UTC","2018-04-30 19:23:40 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-04-28 16:45:33 -0600","","Coronado National Forest, Rio Rico, AZ, US",31.694105,-110.9341133333,"","Arizona sycamore","https://www.inaturalist.org/observations/11716284","https://static.inaturalist.org/photos/16751613/medium.jpg?1524977003","yams17",11716284,"Arizona sycamore","Plantae",167031,"false",1,0,"Sat Apr 28 2018 16:45:33 GMT-0700 (MST)","2018-04-28","2018-04-28 22:45:33 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,558842,"2018-04-29 04:42:55 UTC","2018-04-29 07:38:01 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-04-06 19:00:42 -0400","","Coronado National Forest, Hereford, AZ, US",31.44623,-110.3119966667,"","Arizona sycamore","https://www.inaturalist.org/observations/11648510","https://static.inaturalist.org/photos/16642858/medium.jpg?1524942283","andyjones",11648510,"Arizona sycamore","Plantae",167031,"false",1,0,"Fri Apr 06 2018 19:00:42 GMT-0400 (EDT)","2018-04-06","2018-04-06 23:00:42 UTC","Eastern Time (US & Canada)",8,NA,NA,"false","","",NA,14364,"2018-04-28 19:04:13 UTC","2018-04-28 20:38:59 UTC","research","CC-BY-NC",NA,3,"false"
"Platanus wrightii","2018-04-05 16:51:01 -0400","","Coronado National Forest, Rio Rico, AZ, US",31.7053166667,-110.8771533333,"","Arizona sycamore","https://www.inaturalist.org/observations/11555756","https://static.inaturalist.org/photos/16500892/medium.jpg?1524874082","andyjones",11555756,"Arizona sycamore","Plantae",167031,"false",1,0,"Thu Apr 05 2018 16:51:01 GMT-0400 (EDT)","2018-04-05","2018-04-05 20:51:01 UTC","Eastern Time (US & Canada)",16,NA,NA,"false","","",NA,14364,"2018-04-28 00:07:42 UTC","2018-04-28 13:54:35 UTC","research","CC-BY-NC",NA,3,"false"
"Platanus wrightii","2018-04-21 12:35:29 -0600","","1989 Clubhouse Dr, Prescott, AZ, US",34.6455166667,-112.4233033333,"","Arizona sycamore","https://www.inaturalist.org/observations/11282179","https://static.inaturalist.org/photos/16043146/medium.jpg?1524341077","jasoncleghorn",11282179,"Arizona sycamore","Plantae",167031,"false",2,0,"Sat Apr 21 2018 12:35:29 GMT-0700 (MST)","2018-04-21","2018-04-21 18:35:29 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,459258,"2018-04-21 20:01:14 UTC","2018-04-21 21:06:39 UTC","research","CC-BY-NC",NA,3,"false"
